               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  96,            0.020499,            0.018507,           0.0021991,             0.94559,             0.96478,             0.97299,             0.82774,            0.016774,             0.01045,           0.0015131,           0.0090595,           0.0090595,           0.0090595
                  97,            0.021207,            0.019359,           0.0021684,             0.93626,             0.96959,             0.97664,             0.78979,            0.020744,            0.010208,           0.0014287,           0.0090496,           0.0090496,           0.0090496
                  98,            0.023748,            0.019085,           0.0023761,             0.95534,             0.96118,             0.97155,             0.81035,            0.017326,             0.01004,           0.0014974,           0.0090397,           0.0090397,           0.0090397
                  99,              0.0207,            0.020366,           0.0028294,             0.95359,             0.95554,             0.97007,             0.78591,            0.018264,            0.010608,           0.0014469,           0.0090298,           0.0090298,           0.0090298
                 100,            0.020645,            0.020233,           0.0021412,             0.95589,             0.95276,             0.97064,             0.79742,            0.017829,            0.011026,           0.0013672,           0.0090199,           0.0090199,           0.0090199
                 101,            0.022976,            0.020676,            0.001908,             0.92551,             0.97069,             0.97691,             0.78089,            0.017777,            0.010934,           0.0015217,             0.00901,             0.00901,             0.00901
                 102,            0.021744,            0.020495,           0.0022909,             0.95978,             0.92842,             0.97534,             0.77886,            0.018411,            0.011227,           0.0014023,           0.0090001,           0.0090001,           0.0090001
                 103,            0.022322,            0.019324,           0.0018199,             0.94914,             0.93757,             0.96157,             0.75641,            0.018952,             0.01211,           0.0014409,           0.0089902,           0.0089902,           0.0089902
                 104,            0.022894,            0.019143,           0.0024725,             0.95185,             0.92586,             0.96785,             0.78251,            0.016842,            0.011352,            0.001417,           0.0089803,           0.0089803,           0.0089803
                 105,            0.022335,            0.019746,           0.0021532,             0.96249,             0.93893,             0.97147,             0.80574,            0.017189,            0.011163,           0.0014554,           0.0089704,           0.0089704,           0.0089704
                 106,             0.02286,            0.020303,           0.0021751,             0.94059,             0.96134,               0.968,             0.79843,            0.020584,            0.011451,           0.0014966,           0.0089605,           0.0089605,           0.0089605
